Iteration,Discriminator Loss,Generator Loss
3520,1.349190,0.741456
3530,1.361887,0.706287
3540,1.322990,0.738209
3550,1.371450,0.711276
3560,1.358147,0.729449
3570,1.343696,0.696252
3580,1.358028,0.701916
3590,1.359722,0.802465
3600,1.313636,0.615716
3610,1.338315,0.624128
3620,1.316199,0.519773
3630,1.382679,0.622415
3640,1.358146,0.732579
3650,1.330066,0.651911
3660,1.351653,0.683364
3670,1.358912,0.713320
3680,1.355990,0.688805
3690,1.363709,0.655054
3700,1.375371,0.670354
3710,1.352726,0.702861
3720,1.378092,0.609705
3730,1.366088,0.541754
3740,1.364442,0.693679
3750,1.314991,0.557470
3760,1.341192,0.577191
3770,1.338482,0.604758
3780,1.353553,0.718805
3790,1.341418,0.729429
3800,1.367719,0.763926
3810,1.361577,0.716367
3820,1.348889,0.699526
3830,1.345273,0.681196
3840,1.355835,0.684695
3850,1.354460,0.751750
3860,1.338688,0.691211
3870,1.358639,0.759894
3880,1.324407,0.750975
3890,1.353380,0.710739
3900,1.321104,0.697482
3910,1.332899,0.688781
3920,1.341952,0.740819
3930,1.375139,0.696491
3940,1.334610,0.561918
3950,1.368441,0.517828
3960,1.278075,0.512100
3970,1.352451,0.603570
3980,1.351803,0.683563
3990,1.302341,0.758114
4000,1.311581,0.637984
4010,1.375036,0.687321
4020,1.360502,0.677802
4030,1.349565,0.617131
4040,1.355763,0.668899
4050,1.354774,0.687247
4060,1.344381,0.713837
4070,1.311599,0.583368
4080,1.318639,0.537482
4090,1.342824,0.728030
4100,1.335594,0.572941
4110,1.353383,0.572849
4120,1.363747,0.679729
4130,1.330630,0.575864
4140,1.344285,0.588122
4150,1.383985,0.572946
4160,1.349796,0.639365
4170,1.353552,0.651740
4180,1.371769,0.580738
4190,1.348987,0.921425
4200,1.342118,0.722720
4210,1.322327,0.749700
4220,1.378731,0.684051
4230,1.340786,0.552690
4240,1.360793,0.656566
4250,1.380174,0.735999
4260,1.374613,0.600429
4270,1.305058,0.701591
4280,1.324969,0.545602
4290,1.356656,0.657888
4300,1.351730,0.765669
4310,1.354272,0.667116
4320,1.352185,0.701207
4330,1.331496,0.578468
4340,1.358662,0.610894
4350,1.359275,0.625576
4360,1.362602,0.686838
4370,1.360685,0.654792
4380,1.368541,0.706391
4390,1.367850,0.684891
4400,1.378828,0.687934
4410,1.343312,0.596408
4420,1.369389,0.635073
4430,1.347868,0.606771
4440,1.367581,0.675134
4450,1.358560,0.704627
4460,1.346596,0.626318
4470,1.281215,0.581493
4480,1.342859,0.600637
4490,1.358539,0.692373
4500,1.345984,0.522616
4510,1.354264,0.791368
4520,1.432079,0.516691
4530,1.326056,0.542649
4540,1.367928,0.699418
4550,1.368084,0.638964
4560,1.397595,0.692336
4570,1.371177,0.632391
4580,1.299651,0.561051
4590,1.357898,0.710275
4600,1.343349,0.701174
4610,1.357230,0.671383
4620,1.368588,0.778627
4630,1.360635,0.662516
4640,1.368907,0.701666
4650,1.367975,0.781826
4660,1.316176,0.719225
4670,1.361184,0.641206
4680,1.396810,0.759654
4690,1.349940,0.694320
4700,1.344189,0.749472
4710,1.317196,0.617308
4720,1.360628,0.618534
4730,1.364058,0.570425
4740,1.362745,0.594868
4750,1.347034,0.658865
4760,1.351710,0.698230
4770,1.335407,0.652777
